candidate_id,query,language,cluster,subcluster,intent,candidate_owner_path,mapping_status,coverage,evidence_type,source_file,source_evidence,pattern_id,validation_status,search_volume,keyword_difficulty
Q0001,custom software development company in India,en,custom-software-development,buyer-commercial,commercial,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE01,needs_search_data_and_editorial_review,,
Q0002,delivery partner for custom software development,en,custom-software-development,buyer-commercial,commercial,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE02,needs_search_data_and_editorial_review,,
Q0003,how to choose a provider for custom software development,en,custom-software-development,buyer-commercial,commercial,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE03,needs_search_data_and_editorial_review,,
Q0004,custom software development provider comparison checklist,en,custom-software-development,buyer-commercial,commercial,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE04,needs_search_data_and_editorial_review,,
Q0005,request a quote for custom software development,en,custom-software-development,buyer-transactional,transactional,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE05,needs_search_data_and_editorial_review,,
Q0006,custom software development cost factors,en,custom-software-development,buyer-cost-planning,cost-planning,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE06,needs_search_data_and_editorial_review,,
Q0007,how to budget for custom software development,en,custom-software-development,buyer-cost-planning,cost-planning,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE07,needs_search_data_and_editorial_review,,
Q0008,what to include in an estimate for custom software development,en,custom-software-development,buyer-cost-planning,cost-planning,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE08,needs_search_data_and_editorial_review,,
Q0009,custom software development scope and pricing discussion,en,custom-software-development,buyer-cost-planning,cost-planning,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE09,needs_search_data_and_editorial_review,,
Q0010,hidden cost questions for custom software development,en,custom-software-development,buyer-cost-planning,cost-planning,/services/custom-software-development,provisional_existing_page,service_topic_supported_answer_review_needed,repository_content_derived_not_observed,website/src/lib/data/services-fallback.ts,"Software designed and built around your exact business requirements, from first draft to deployment.",CORE10,needs_search_data_and_editorial_review,,
